employee_id,total_hours,working_days,shifts,avg_shift_duration,stations_used
0,4,1,1,4.0,K
1,37,5,5,7.4,"C,K"
2,40,5,5,8.0,"C,FF"
3,33,5,5,6.6,"BVR,C,FF,K"
4,38,5,5,7.6,"BVR,K,TS"
5,26,5,5,5.2,K
6,33,5,5,6.6,C
7,39,5,5,7.8,"BVR,K"
8,40,5,5,8.0,"C,K,TS"
9,7,1,1,7.0,C
10,4,1,1,4.0,K
11,39,5,5,7.8,"C,K"
12,4,1,1,4.0,C
13,7,2,2,3.5,"FF,K"
14,40,5,5,8.0,K
15,40,5,5,8.0,"BVR,K,TS"
16,4,1,1,4.0,C
17,38,5,5,7.6,"C,K"
18,18,3,3,6.0,"C,FF,K"
19,39,5,5,7.8,"BVR,C,FF,TS"
20,28,4,4,7.0,"C,FF,TS"
21,12,3,3,4.0,"C,K,TS"
22,12,2,2,6.0,"C,TS"
23,14,2,2,7.0,"C,K"
24,3,1,1,3.0,C
25,3,1,1,3.0,K
26,4,1,1,4.0,FF
27,8,2,2,4.0,C
28,37,5,5,7.4,"BVR,C,K,TS"
29,3,1,1,3.0,C
30,19,4,4,4.75,"C,K"
31,37,5,5,7.4,"BVR,K"
32,40,5,5,8.0,C
33,29,5,5,5.8,"C,FF,K,TS"
34,4,1,1,4.0,C
35,6,1,1,6.0,K
36,32,5,5,6.4,"C,FF,K,TS"
37,3,1,1,3.0,C
38,39,5,5,7.8,"C,K"
39,3,1,1,3.0,K
40,4,1,1,4.0,K
41,4,1,1,4.0,K
42,3,1,1,3.0,TS
43,40,5,5,8.0,"K,TS"
44,40,5,5,8.0,"BVR,K,TS"
45,20,5,5,4.0,"C,K"
46,4,1,1,4.0,C
47,38,5,5,7.6,"BVR,C,FF"
48,3,1,1,3.0,FF
49,4,1,1,4.0,K
50,20,4,4,5.0,"C,FF,TS"
51,15,4,4,3.75,"C,K"
52,40,5,5,8.0,"BVR,K"
53,4,1,1,4.0,K
54,39,5,5,7.8,"BVR,K,TS"
55,4,1,1,4.0,C
56,21,4,4,5.25,"C,K"
57,4,1,1,4.0,C
58,3,1,1,3.0,C
59,40,5,5,8.0,"K,TS"
60,4,1,1,4.0,K
61,4,1,1,4.0,C
62,3,1,1,3.0,K
63,4,1,1,4.0,K
64,4,1,1,4.0,K
65,4,1,1,4.0,K
66,40,5,5,8.0,"BVR,K,TS"
67,4,1,1,4.0,TS
68,14,2,2,7.0,C
